Show,A,Z,N,symb,symb A,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,Total BE MeV,atomic mass, unc, mass excess,unc
1,11,5,6,B,B 11,2.406,294,0, ,3/2-, ,STABLE, , , , , , , , , , , , , ,1/2,2.6886489, ,0.04065, ,-1981.689,61,-15102.28,7,-8664.31,1,-11509.46,23,11454.22,2,11228.75,8,6927.732,1,76.205052,11009305.166,13,8667.707,12
0,11,6,5,C,C 11,,,0, ,3/2-, ,20.364,14,m,1221.84,0.84,EC+B+,100, , , , , , , ,1/2,-0.964, ,0.03426, ,-13654.163,46154,-36221.95,400,-7544.52,9,1981.689,61,13120.59,9,8690.18,6,6676.456,5,73.441016,11011432.597,64,10649.396,60
0,11,7,4,N,N 11,,,0, ,1/2+, ,830,30,keV,5.496839940619E-22,1.52079238357129E-20,P,100, , , , , , , ,3/2, , , , ,,,,,-5797.91,53,13654.163,46,22567.78,403,-1315.92,46,5364.046,4196,59.004506,11026090.945,49548,24303.559,46154
0,12,3,9,LI,LI 12,,,0, ,(1- 2-), , , , , , ,N,100, , , , , , , , , , , , ,23931.812,30067,20761.09,30,,,,,-210,30,,,3791.6,2501,45.4992,12052613.941,32213,49009.571,30006
0,12,4,8,Be,Be 12,,0,0, ,0+, ,21.46,5,ms,0.02146,5E-05,B-,100, ,B-N,0.5,0.03, , , ,2, , , , ,11708.363,2321,8338.74,191,-8956.84,191,-23931.811,30,3170.72,192,22939.47,200,5720.722,159,68.648664,12026922.083,2048,25077.76,1909
0,12,5,7,B,B 12,,,0, ,1+, ,20.2,2,ms,0.0202,2E-05,B-,100, ,B-A,0.6,0.02, , , ,1,1.00306, ,0.0134, ,13369.397,1321,-5351.32,132,-10001.32,132,-11708.363,2321,3369.63,132,14096.74,134,6631.223,110,79.574676,12014352.638,1418,13369.397,1321
2,12,6,6,C,C 12,2.4702,22,0, ,0+, ,STABLE, , , , , , , , , , , , , ,0, , , , ,-17338.068,1000,-32374.88,46,-7366.59,4,-13369.397,1321,18720.71,6,15956.68,1,7680.144,0,92.161728,12000000,0,0,0
0,12,7,5,N,N 12,,,0, ,1+, ,11,16,ms,0.011,1.6E-05,EC+B+,100, ,B+A,1.93,0.04, , , ,1,0.4571, ,0.0098, ,-14576.544,24021,,,-8008.41,141,17338.068,10,15036.81,46,600.3,100,6170.109,83,74.041308,12018613.182,1073,17338.068,1000
0,12,8,4,O,O 12,,,0, ,0+,LT,72, ,keV,6.336634931547E-21, ,2P,100, , , , , , , ,2, , , , ,,,,,-5574.57,30,14576.545,24,,,-322.08,52,4890.202,2000,58.682424,12034261.747,25765,31914.613,24000
0,13,4,9,Be,Be 13,,,0, ,(1/2-), ,2.7E-21,18,s,2.7E-21,1.8E-21,N, , , , , , , , , , , , , ,17097.13,10230,12218.36,10,-9701.66,48,-23321.811,71,-510,10,22639.47,32,5241.435,783,68.138655,13036134.507,10929,33659.077,10180
0,13,5,8,B,B 13,,,0, ,3/2-, ,17.33,17,ms,0.01733,0.00017,B-,100, ,B-5N,0.286, ,B-5N,0.286, ,3/2,3.1778, ,0.037, ,13436.938,1000,8490.63,100,-10817.87,102,-17097.13,10,4878.77,166,15804.78,215,6496.419,77,84.453447,13017779.981,1073,16561.947,1000
1,13,6,7,C,C 13,2.4614,34,0, ,1/2-, ,STABLE, , , , , , , , , , , , , ,1/2,0.7024118, , , ,-2220.472,270,-22284.38,100,-10648.36,8,-13436.938,10,4946.31,0,17533.36,132,7469.849,0,97.108037,13003354.83521,23,3125.00888,21
0,13,7,6,N,N 13,,,0, ,1/2-, ,9.965,4,m,597.9,0.24,EC+B+,100, , , , , , , ,1/2,0.3222, , , ,-17769.951,9530,-34640.45,24,-9495.92,94,2220.472,27,20063.9,104,1943.49,27,7238.863,21,94.105219,13005738.609,289,5345.481,270
0,13,8,5,O,O 13,,,0, ,(3/2-), ,8.58,5,ms,0.00858,5E-05,B+P,100, ,EC+B+,100, , , , ,3/2, , , , ,,,,,-8220.46,10,17769.951,10,16870.5,26,1511.61,10,5811.763,733,75.552919,13024815.437,10226,23115.432,9526
0,14,4,10,Be,Be 14,,,0, , , ,4.35,17,ms,0.00435,0.00017,B-,100, ,B-N,81,4,B-2N,5,2, , , , , ,16290.813,133936,15321.23,132,-11667.56,162,,,1775.9,133,24315.36,150,4993.897,9446,69.914558,14042892.92,141970,39954.498,132245
0,14,5,9,B,B 14,,,0, ,2-, ,12.5,5,ms,0.0125,0.0005,B-,100, ,B-5N,6.1, ,B-5N,6.1, ,2, , , , ,20643.792,21213,12467.36,21,-11813.85,25,-16290.813,134,969.58,21,17284.36,24,6101.644,1515,85.423016,14025404.012,22773,23663.685,21213
1,14,6,8,C,C 14,2.5025,87,0, ,0+, ,5700,30,Y,179874478055.174,946707779.23776,B-,100, , , , , , , ,1, , , , ,156.476,4,-10396.91,27,-12012.51,8,-20643.792,21,8176.43,0,20831.02,100,7520.319,0,105.284466,14003241.98843,403,3019.89278,376
