nodeID,Element,#Protons,X,Y,Z,Radius,Volume,Ratio
2621, Dysprosium 164,164,2.01606,109.646,-24.6894,605.714,930877000,5676080
1884, Holmium 165,165,0,72.2953,0,595.396,884112000,5358250
1890, Holmium 165 try-out,165,0,153.317,0,583.541,832342000,5044500
1885, Erbium 162,162,0,153.317,0,583.541,832342000,5137910
1891, Thulium 169,169,0,153.317,0,583.541,832342000,4925100
1888, Thulium alternative,169,0,153.317,0,583.541,832342000,4925100
743, Ytterbium 168 try-out,168,0,153.317,0,583.541,832342000,4954420
2639, Ytterbium 176 ,176,0,72.2953,0,595.396,884112000,5023360
744, Lutetium 175 ALT,175,0,153.317,0,583.541,832342000,4756240
2653, Lutetium 176,176,0,153.317,0,583.541,832342000,4729220
1883, Hafnium 174,174,0,153.317,0,583.541,832342000,4783570
2650, Tantalum 180,180,0,153.317,0,583.541,832342000,4624120
2603, Tantalum 181,181,0,153.317,0,583.541,832342000,4598570
2599, Tungsten 184,184,0,153.317,0,583.541,832342000,4523600
739, Rhenium 185,185,0,153.317,0,583.541,832342000,4499150
2651, Osmium 184,184,0,153.317,0,583.541,832342000,4523600
434, Osmium 186 ,186,0,153.317,0,583.541,832342000,4474960
2338, Iridium 191 alt,191,0,153.317,0,583.541,832342000,4357810
1862, Iridium 191 try-out,191,0,153.317,0,583.541,832342000,4357810
2645, Platinum 194,194,0,153.317,0,583.541,832342000,4290420
530, Gold 197 ,197,0,153.317,0,583.541,832342000,4225090
2109, Gold alternative odd,197,0,72.2953,0,595.396,884112000,4487880
754, Mercury 170 Min isotope,170,-28.3569,108.798,-70.7251,574.424,793937000,4670220
531, Mercury 198 alt,198,0,153.317,0,583.541,832342000,4203750
1835, Mercury 198 default,198,0,153.317,0,583.541,832342000,4203750
2608, Mercury 204,204,0,72.2953,0,595.396,884112000,4333880
753, Mercury 210 max isotope,210,0,72.2953,0,595.396,884112000,4210060
529, Thallium 203,203,0,153.317,0,583.541,832342000,4100210
1838, Lead 204 ,204,0,153.317,0,583.541,832342000,4080110
2596, Lead 204 B,204,0,153.317,0,583.541,832342000,4080110
2573, Lead 208,208,-0.461698,112.806,-29.3737,590.222,861260000,4140670
2570, Lead 211,211,0,153.317,0,583.541,832342000,3944750
1842, Bismuth 209 ,209,0,153.317,0,583.541,832342000,3982500
526, Bismuth 210 alt,210,0,153.317,0,583.541,832342000,3963530
2571, Bismuth 211,211,0,153.317,0,583.541,832342000,3944750
2646, Polonium 208,208,0,153.317,0,583.541,832342000,4001640
2107, Polonium 211,211,0,153.317,0,583.541,832342000,3944750
2569, Polonium 215,215,0,153.317,0,583.541,832342000,3871360
2110, Astatine 214,214,0,153.317,0,583.541,832342000,3889450
2103, Astatine 219 A-dacy,219,0,153.317,0,583.541,832342000,3800650
1831, Radon 211,211,0,153.317,0,583.541,832342000,3944750
1839, Radon 215 complete,215,0,153.317,0,583.541,832342000,3871360
2568, Radon 219,219,0,153.317,0,583.541,832342000,3800650
1841, Radon 220 (from Ra224),220,0,153.317,0,583.541,832342000,3783370
287, Radon 222,222,-0.461698,112.806,-29.3737,590.222,861260000,3879550
1828, Francium 223 Try-out,223,0,153.317,0,583.541,832342000,3732480
2567, Radium 223,223,8.37603,134.509,-28.3261,597.43,893203000,4005390
1840, Radium 224,224,8.37603,134.509,-28.3261,597.43,893203000,3987510
2625, Radium 226 TRY-OUT,226,2.01606,109.646,-24.6894,605.714,930877000,4118930
1844, Actinium 227,227,-0.461698,112.806,-29.3737,590.222,861260000,3794100
2563, Thorium 227,227,-0.461698,112.806,-29.3737,590.222,861260000,3794100
1856, Thorium 231,231,-4.84071,104.046,-17.3579,596.617,889560000,3850910
1857, Thorium 232,232,-4.84071,104.046,-17.3579,596.617,889560000,3834310
2582, Thorium 233,233,-4.84071,104.046,-17.3579,596.617,889560000,3817850
2581, Protactinium 233,233,-8.17124E-14,114.274,-2.41585E-13,597.009,891317000,3825400
1846, Protractinium 231,231,-8.17124E-14,114.274,-2.41585E-13,597.009,891317000,3858520
1850, Uranium 233,233,-8.17124E-14,114.274,-2.41585E-13,597.009,891317000,3825400
1863, Uranium 233 alternative ,233,0,146.996,0,614.462,971792000,4170780
1861, Uranium 234,234,-8.17124E-14,114.274,-2.41585E-13,597.009,891317000,3809050
1848, Uranium 235,235,-8.17124E-14,114.274,-2.41585E-13,597.009,891317000,3792840
1852, Uranium 238,238,-8.17124E-14,114.274,-2.41585E-13,597.009,891317000,3745030
1849, Neptunium 236,236,-8.17124E-14,114.274,-2.41585E-13,597.009,891317000,3776770
1853, Plutonium 239,239,-8.17124E-14,114.274,-2.41585E-13,597.009,891317000,3729360
1851, Plutonium 244,244,0,68.5043,0,621.426,1005210000,4119720
1854, Americium 241,241,-8.17124E-14,114.274,-2.41585E-13,597.009,891317000,3698410
1855, Muscovium Ca48 & americium,292,17.4523,422.422,62.5807,701.358,1445130000,4949080
1889, Noble gas 170,170,0,153.317,0,583.541,832342000,4896130
